cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
22442523000120;2015-05-13;true;7319002;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;41830001;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA
46635048000177;2022-06-02;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;56820000;CARNAIBA;PE;NORDESTE;SERTAO PERNAMBUCANO;ATIVA
45740263000175;1981-04-14;true;0724301;EXTRACAO DE MINERIO DE METAIS PRECIOSOS;MINERACAO;INDUSTRIA;01046000;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
01961665000124;1997-04-04;true;6209100;SUPORTE TECNICO MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;INDUSTRIA DIGITAL;SERVICOS;11310923;SAO VICENTE;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
27164411000179;2017-02-21;true;7112000;SERVICOS DE ENGENHARIA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;89196000;SALETE;SC;SUL;VALE DO ITAJAI;ATIVA
21677229000135;2015-01-14;true;4744003;COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS;VAREJO;COMERCIO;09290410;SANTO ANDRE;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
32129958000173;2018-08-08;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;79680000;AGUA CLARA;MS;CENTRO-OESTE;LESTE DE MATO GROSSO DO SUL;ATIVA
11316276000280;2017-04-27;false;0139306;CULTIVO DE SERINGUEIRA;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;15170000;TANABI;SP;SUDESTE;SAO JOSE DO RIO PRETO;ATIVA
46529986000192;2022-05-25;true;1091101;FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL;BENS DE CONSUMO;INDUSTRIA;58463000;SANTA CECILIA;PB;NORDESTE;AGRESTE PARAIBANO;ATIVA
29339208000111;2018-01-02;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;29024157;VITORIA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;ATIVA
21197887000120;2014-10-09;true;4722901;COMERCIO VAREJISTA DE CARNES ACOUGUES;VAREJO;COMERCIO;55900973;GOIANA;PE;NORDESTE;MATA PERNAMBUCANA;ATIVA
43292862000148;2021-08-26;true;8650001;ATIVIDADES DE ENFERMAGEM;SERVICOS DE SAUDE;SERVICOS;02431100;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
